Company_ID,Fraud_Detection_System,Fraud_Detection_Rate,Fraud_Prevention_Rate,Customer_Trust_Score
CMP-897444,AI-Powered,0.93,0.84,4.9
CMP-505424,AI-Powered,0.76,0.81,4.9
CMP-888895,Legacy,0.64,0.27,2.59
CMP-695061,Hybrid,0.76,0.67,4.37
CMP-410626,Hybrid,0.69,0.55,4.11
CMP-157697,Hybrid,0.69,0.63,4.0
CMP-683662,Legacy,0.67,0.49,3.49
CMP-983997,AI-Powered,0.87,0.76,4.34
CMP-457297,AI-Powered,0.9,0.79,4.2
CMP-977491,AI-Powered,0.88,0.77,4.68
CMP-646432,AI-Powered,0.87,0.65,4.34
CMP-165631,Hybrid,0.76,0.63,3.4
CMP-841035,AI-Powered,0.79,0.82,4.27
CMP-472414,AI-Powered,0.89,0.81,4.77
CMP-329983,Hybrid,0.64,0.49,4.0
CMP-742104,AI-Powered,0.9,0.67,4.32
CMP-571762,Hybrid,0.75,0.63,3.83
CMP-801012,AI-Powered,0.79,0.75,4.73
CMP-715707,AI-Powered,0.78,0.76,4.68
CMP-637612,AI-Powered,0.91,0.75,4.42
CMP-677030,Hybrid,0.69,0.61,4.04
CMP-753933,Legacy,0.74,0.42,2.9
CMP-580365,AI-Powered,0.89,0.71,3.59
CMP-796817,AI-Powered,0.9,0.76,4.14
CMP-661409,AI-Powered,0.82,0.75,4.65
CMP-387860,Legacy,0.63,0.33,3.25
CMP-332252,Legacy,0.55,0.45,2.29
CMP-734751,AI-Powered,0.87,0.79,5.0
CMP-937966,Hybrid,0.67,0.6,3.31
CMP-355237,AI-Powered,0.88,0.78,4.35
CMP-572270,AI-Powered,0.84,0.73,4.51
CMP-610205,AI-Powered,0.86,0.78,4.39
CMP-966048,Legacy,0.55,0.43,4.43
CMP-706762,AI-Powered,0.87,0.81,4.4
CMP-541631,Legacy,0.72,0.43,3.28
CMP-927284,AI-Powered,0.88,0.69,4.4
CMP-972620,Hybrid,0.84,0.66,3.26
CMP-432748,Hybrid,0.64,0.61,3.46
