fraud_id,fraud_type,location,date_reported,amount_loss,reported_by,age,channel,is_preventable,fraud_detected_at,risk_score
FRAUD-8542623,Payment Fraud,Ontario,2024-04-20,2862.55,employer,38,phone,True,Initiation,0.44
FRAUD-4829236,Payment Fraud,Ontario,2024-07-02,4437.51,victim,56,email,False,Initiation,0.5
FRAUD-2436887,Payment Fraud,Ontario,2023-08-23,2982.91,police,55,phone,True,Initiation,0.29
FRAUD-1250939,Payment Fraud,Ontario,2024-06-04,4168.37,victim,56,phone,True,Completion,0.56
FRAUD-1635556,Payment Fraud,Ontario,2024-05-02,2555.26,victim,75,in-person,False,Processing,0.24
FRAUD-8985159,Payment Fraud,Ontario,2023-01-14,1879.36,bank,45,email,False,Initiation,0.6
FRAUD-5873040,Payment Fraud,Ontario,2024-09-20,1655.3,employer,63,online,True,Processing,0.68
FRAUD-3920053,Payment Fraud,Ontario,2023-10-23,152.98,police,61,online,False,Initiation,0.8
FRAUD-4752903,Payment Fraud,Ontario,2024-02-24,195.07,bank,58,email,True,Initiation,0.91
FRAUD-4031453,Payment Fraud,Ontario,2024-02-07,3216.73,police,72,in-person,True,Processing,0.91
FRAUD-3754949,Payment Fraud,Ontario,2024-08-12,772.47,victim,44,in-person,False,Processing,0.76
FRAUD-9438751,Payment Fraud,Ontario,2023-12-23,3008.27,employer,59,online,True,Processing,0.25
FRAUD-6608511,Payment Fraud,Ontario,2023-07-26,2127.61,bank,49,phone,False,Completion,0.46
FRAUD-4534952,Payment Fraud,Ontario,2023-07-08,184.05,bank,80,in-person,True,Processing,0.38
FRAUD-2975515,Payment Fraud,Ontario,2023-05-05,526.51,employer,55,online,False,Completion,0.5
FRAUD-8907769,Payment Fraud,Ontario,2024-10-06,3917.4,bank,18,online,True,Processing,0.73
FRAUD-9385724,Payment Fraud,Ontario,2023-03-16,4078.46,victim,50,email,False,Completion,0.28
FRAUD-1551222,Payment Fraud,Ontario,2024-01-29,2855.61,police,19,in-person,False,Completion,0.78
FRAUD-7852817,Payment Fraud,Ontario,2024-01-24,3680.29,employer,44,online,False,Initiation,0.75
FRAUD-3733497,Payment Fraud,Ontario,2024-10-04,4324.01,police,67,in-person,True,Completion,0.7
FRAUD-9848387,Payment Fraud,Ontario,2024-03-24,1436.98,bank,43,phone,False,Initiation,0.76
FRAUD-1901573,Payment Fraud,Ontario,2023-10-21,3872.81,police,42,online,False,Processing,0.67
FRAUD-1513577,Payment Fraud,Ontario,2023-10-28,145.99,bank,64,phone,False,Processing,0.46
FRAUD-6066978,Payment Fraud,Ontario,2024-05-16,730.29,bank,26,online,False,Completion,0.4
FRAUD-3564534,Payment Fraud,Ontario,2024-10-22,4718.02,victim,62,online,False,Processing,0.83
FRAUD-7196276,Payment Fraud,Ontario,2024-08-27,734.29,police,72,online,True,Processing,0.58
FRAUD-2411766,Payment Fraud,Ontario,2023-08-16,1649.31,employer,32,in-person,False,Completion,0.4
FRAUD-5352447,Payment Fraud,Ontario,2023-07-08,3165.76,employer,25,phone,True,Completion,0.68
