fraud_id,fraud_type,location,date_reported,amount_loss,reported_by,age,channel,is_preventable,fraud_detected_at,risk_score
FRAUD-7175939,Online Shopping,Ontario,2024-11-17,8960.23,victim,63,phone,True,Completion,0.83
FRAUD-1524015,Online Shopping,Ontario,2024-05-30,5976.91,employer,67,email,False,Initiation,0.32
FRAUD-3188916,Identity Fraud,Ontario,2024-09-11,7603.57,victim,78,in-person,True,Initiation,0.28
FRAUD-8208822,Online Shopping,Ontario,2024-10-07,704.07,employer,18,in-person,False,Completion,0.24
FRAUD-6415375,Online Shopping,Ontario,2025-03-13,7580.56,police,51,in-person,True,Initiation,0.32
FRAUD-7789773,Payment Fraud,Ontario,2025-02-20,7464.39,victim,22,in-person,False,Completion,0.48
FRAUD-7330785,Health Fraud,Ontario,2024-11-19,2187.86,employer,24,phone,True,Initiation,0.14
FRAUD-6728847,Online Shopping,Ontario,2024-04-29,9960.31,employer,25,phone,False,Completion,0.29
FRAUD-8612161,Identity Fraud,Ontario,2024-11-24,6762.83,police,64,in-person,True,Initiation,0.29
FRAUD-2115114,Government-Related,Ontario,2024-09-28,6865.53,victim,44,email,False,Completion,0.63
FRAUD-7058072,Investment Fraud,Ontario,2025-02-10,5931.44,police,65,phone,True,Completion,0.13
FRAUD-8137505,Online Shopping,Ontario,2024-06-05,5340.57,victim,58,phone,False,Processing,0.78
FRAUD-4467682,Online Shopping,Ontario,2024-12-10,5427.63,employer,19,email,True,Completion,0.78
FRAUD-9860733,Identity Fraud,Ontario,2025-02-22,8901.28,employer,62,in-person,False,Initiation,0.87
FRAUD-1452439,Payment Fraud,Ontario,2025-03-07,7563.36,police,84,email,True,Initiation,0.39
FRAUD-7818986,Online Shopping,Ontario,2024-04-11,9046.62,victim,61,phone,False,Initiation,0.2
FRAUD-7675906,Payment Fraud,Ontario,2024-04-27,1096.99,police,55,email,False,Initiation,0.55
FRAUD-5505738,Investment Fraud,Ontario,2024-06-25,2862.07,victim,59,email,False,Processing,0.64
FRAUD-2959018,Identity Fraud,Ontario,2025-01-26,8368.68,victim,79,phone,True,Processing,0.61
FRAUD-2478174,Health Fraud,Ontario,2025-03-15,8741.88,police,27,email,False,Processing,0.14
FRAUD-8454548,Investment Fraud,Ontario,2024-05-27,1094.05,victim,31,phone,True,Completion,0.68
FRAUD-9523710,Other,Ontario,2024-05-19,6669.04,victim,34,in-person,True,Completion,0.8
FRAUD-5087305,Payment Fraud,Ontario,2024-06-03,4514.63,victim,71,phone,True,Completion,0.69
FRAUD-1483745,Identity Fraud,Ontario,2024-05-28,7689.08,victim,22,in-person,True,Completion,0.58
FRAUD-5047822,Payment Fraud,Ontario,2024-04-08,5237.16,police,45,phone,True,Initiation,0.46
FRAUD-8205431,Payment Fraud,Ontario,2024-05-22,9719.79,employer,21,in-person,False,Processing,0.71
FRAUD-2187675,Investment Fraud,Ontario,2024-04-25,7004.25,victim,81,phone,True,Processing,0.33
FRAUD-8905841,Payment Fraud,Ontario,2024-05-03,1676.04,employer,78,email,False,Initiation,0.72
FRAUD-9901970,Identity Fraud,Ontario,2024-12-08,9759.53,police,75,phone,True,Initiation,0.61
FRAUD-9524195,Payment Fraud,Ontario,2024-10-09,6743.91,victim,22,phone,False,Initiation,0.39
FRAUD-2800498,Payment Fraud,Ontario,2024-07-08,7940.34,police,40,in-person,False,Initiation,0.31
FRAUD-7044378,Payment Fraud,Ontario,2025-01-18,6275.92,victim,74,in-person,False,Completion,0.77
FRAUD-6825520,Identity Fraud,Ontario,2024-09-12,6748.73,police,82,in-person,True,Initiation,0.6
FRAUD-6211668,Online Shopping,Ontario,2024-12-16,3798.98,victim,73,in-person,True,Initiation,0.33
FRAUD-2676719,Identity Fraud,Ontario,2025-02-24,1374.91,employer,21,email,False,Processing,0.6
FRAUD-7087292,Payment Fraud,Ontario,2024-07-03,1791.67,victim,40,phone,False,Initiation,0.9
FRAUD-4185061,Identity Fraud,Ontario,2024-08-02,7745.1,police,81,in-person,False,Processing,0.3
FRAUD-9644589,Payment Fraud,Ontario,2024-05-12,6248.95,police,54,phone,True,Processing,0.34
FRAUD-2768235,Other,Ontario,2024-06-24,4370.75,victim,55,email,True,Initiation,0.29
FRAUD-4258930,Payment Fraud,Ontario,2025-02-03,9612.69,police,23,email,True,Completion,0.77
FRAUD-8873686,Investment Fraud,Ontario,2024-04-16,4891.35,employer,55,email,False,Completion,0.23
FRAUD-7088439,Payment Fraud,Ontario,2025-01-29,3510.53,employer,75,phone,False,Processing,0.56
FRAUD-7709026,Investment Fraud,Ontario,2025-01-11,4510.22,police,26,phone,True,Completion,0.62
FRAUD-4072963,Payment Fraud,Ontario,2024-04-27,7465.38,police,33,email,False,Processing,0.3
FRAUD-1687451,Payment Fraud,Ontario,2025-02-09,6046.02,police,55,phone,True,Completion,0.7
FRAUD-5816574,Online Shopping,Ontario,2024-12-15,6519.34,victim,26,in-person,True,Processing,0.21
FRAUD-2072508,Payment Fraud,Ontario,2024-08-18,5061.82,victim,44,phone,False,Initiation,0.15
FRAUD-6075821,Payment Fraud,Ontario,2024-04-26,2362.98,victim,45,email,False,Initiation,0.18
FRAUD-8601362,Identity Fraud,Ontario,2025-02-10,2997.32,employer,70,email,True,Completion,0.46
FRAUD-9322824,Investment Fraud,Ontario,2024-09-15,5231.47,employer,70,email,True,Completion,0.39
FRAUD-6914330,Government-Related,Ontario,2024-04-22,961.65,employer,34,email,False,Initiation,0.78
FRAUD-9076266,Online Shopping,Ontario,2024-08-21,1416.13,police,70,phone,False,Processing,0.19
FRAUD-9330869,Investment Fraud,Ontario,2025-04-01,2215.07,police,36,phone,True,Initiation,0.32
FRAUD-4898483,Payment Fraud,Ontario,2024-04-23,3084.08,victim,80,phone,True,Processing,0.17
FRAUD-3808470,Identity Fraud,Ontario,2024-07-21,6967.04,victim,44,in-person,True,Initiation,0.1
FRAUD-4820041,Investment Fraud,Ontario,2025-01-01,2410.1,victim,42,in-person,True,Completion,0.87
FRAUD-7471078,Payment Fraud,Ontario,2025-03-06,5902.57,employer,25,phone,False,Initiation,0.82
FRAUD-8427794,Payment Fraud,Ontario,2024-04-12,8443.65,victim,74,in-person,False,Completion,0.25
FRAUD-9585168,Health Fraud,Ontario,2025-02-19,8432.66,police,18,in-person,False,Initiation,0.59
FRAUD-6434693,Online Shopping,Ontario,2024-06-26,3153.66,victim,42,phone,True,Completion,0.77
FRAUD-1716378,Investment Fraud,Ontario,2024-07-05,4011.4,victim,49,email,True,Initiation,0.77
FRAUD-3157092,Payment Fraud,Ontario,2024-04-29,2621.07,victim,42,in-person,True,Processing,0.38
FRAUD-7486627,Payment Fraud,Ontario,2024-10-19,1008.91,police,56,email,False,Completion,0.42
FRAUD-7093063,Other,Ontario,2025-03-28,844.38,victim,78,in-person,False,Completion,0.38
FRAUD-7563664,Online Shopping,Ontario,2024-09-12,7099.54,employer,77,phone,True,Completion,0.42
FRAUD-8559021,Online Shopping,Ontario,2025-02-21,5019.19,victim,81,phone,True,Processing,0.37
FRAUD-6834420,Online Shopping,Ontario,2024-09-29,9660.93,police,62,in-person,True,Completion,0.34
FRAUD-2955454,Payment Fraud,Ontario,2025-01-09,1868.7,employer,46,phone,True,Processing,0.82
FRAUD-7075116,Payment Fraud,Ontario,2025-02-03,4546.95,employer,72,in-person,False,Initiation,0.43
FRAUD-4312271,Other,Ontario,2025-01-02,591.04,victim,66,email,False,Completion,0.14
FRAUD-1739700,Online Shopping,Ontario,2024-08-31,5218.61,police,32,phone,False,Processing,0.2
FRAUD-1666069,Health Fraud,Ontario,2024-08-25,4449.44,police,72,in-person,False,Completion,0.81
